date,gm,zone,name,stack,flag,picked_count
2026-05-01,Amitava Dutta,East,BokaroHub_BKO_PL,FK,Future,4
2026-05-01,Amitava Dutta,East,BokaroHub_BKO_PL,FK,Present,16
2026-05-01,Amitava Dutta,East,BokaroHub_BKO_PL,MYE,Present,2
2026-05-01,Amitava Dutta,East,BolangirHub_BLG_PL,FK,Future,3
2026-05-01,Amitava Dutta,East,BolangirHub_BLG_PL,FK,Present,81
2026-05-01,Amitava Dutta,East,CABTHaladiapadarODH_BMP_PL,FK,Present,7
2026-05-01,Amitava Dutta,East,CABTTIRTOLODH_TTL_PL,FK,Future,31
2026-05-01,Amitava Dutta,East,CABTTIRTOLODH_TTL_PL,FK,Present,448
2026-05-01,Amitava Dutta,East,CHASHUB_BKO_PL,EXT,Past,1
2026-05-01,Amitava Dutta,East,CHASHUB_BKO_PL,EXT,Present,3
2026-05-01,Amitava Dutta,East,CHASHUB_BKO_PL,FK,Present,9
2026-05-01,Amitava Dutta,East,CHASHUB_BKO_PL,MYE,Present,1
2026-05-01,Amitava Dutta,East,ChaibasaHub_CBS_PL,FK,Future,10
2026-05-01,Amitava Dutta,East,ChaibasaHub_CBS_PL,FK,Past,4
2026-05-01,Amitava Dutta,East,ChaibasaHub_CBS_PL,FK,Present,10
2026-05-01,Amitava Dutta,East,ChandraSekharpurHub_BBI_PL,EXT,Future,1
2026-05-01,Amitava Dutta,East,ChandraSekharpurHub_BBI_PL,EXT,Present,1
2026-05-01,Amitava Dutta,East,ChandraSekharpurHub_BBI_PL,FK,Future,19
2026-05-01,Amitava Dutta,East,ChandraSekharpurHub_BBI_PL,FK,Past,3
2026-05-01,Amitava Dutta,East,ChandraSekharpurHub_BBI_PL,FK,Present,434
2026-05-01,Amitava Dutta,East,ChandraSekharpurHub_BBI_PL,MYE,Future,2
2026-05-01,Amitava Dutta,East,ChapraHub_CPR_PL,EXT,Future,6
2026-05-01,Amitava Dutta,East,ChapraHub_CPR_PL,EXT,Past,3
2026-05-01,Amitava Dutta,East,ChapraHub_CPR_PL,EXT,Present,2
2026-05-01,Amitava Dutta,East,ChapraHub_CPR_PL,FK,Future,1
