date,gm,zone,name,stack,flag,picked_count,MH
07-08-2026,Akash Sharma,North,VKIAHub_JAI_PL,MYS,Present,3981,NA
07-08-2026,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,EXT,Future,1,NA
07-08-2026,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,EXT,Present,2,NA
07-08-2026,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,FK,Future,64,NA
07-08-2026,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,FK,Past,1,NA
07-08-2026,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,FK,Present,248,NA
07-08-2026,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,MYE,Future,3,NA
07-08-2026,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,MYE,Past,2,NA
07-08-2026,Amitava Dutta,East,ADITYAPURHUB_IXW_PL,MYE,Present,3,NA
07-08-2026,Amitava Dutta,East,ANISHABADHUB_PAT_PL,EXT,Future,6,NA
07-08-2026,Amitava Dutta,East,ANISHABADHUB_PAT_PL,EXT,Past,5,NA
07-08-2026,Amitava Dutta,East,ANISHABADHUB_PAT_PL,EXT,Present,3,NA
07-08-2026,Amitava Dutta,East,ANISHABADHUB_PAT_PL,FK,Future,43,NA
07-08-2026,Amitava Dutta,East,ANISHABADHUB_PAT_PL,FK,Past,18,NA
07-08-2026,Amitava Dutta,East,ANISHABADHUB_PAT_PL,FK,Present,292,NA
07-08-2026,Amitava Dutta,East,ANISHABADHUB_PAT_PL,MYE,Future,1,NA
07-08-2026,Amitava Dutta,East,ArrahHub_ARH_PL,EXT,Future,2,NA
07-08-2026,Amitava Dutta,East,ArrahHub_ARH_PL,EXT,Present,10,NA
07-08-2026,Amitava Dutta,East,ArrahHub_ARH_PL,FK,Future,9,NA
07-08-2026,Amitava Dutta,East,ArrahHub_ARH_PL,FK,Past,73,NA
07-08-2026,Amitava Dutta,East,ArrahHub_ARH_PL,FK,Present,136,NA
07-08-2026,Amitava Dutta,East,ArrahHub_ARH_PL,MYE,Future,5,NA
07-08-2026,Amitava Dutta,East,ArrahHub_ARH_PL,MYE,Present,8,NA
07-08-2026,Amitava Dutta,East,AshokNagarHub_PAT_PL,EXT,Future,6,NA
07-08-2026,Amitava Dutta,East,AshokNagarHub_PAT_PL,EXT,Past,3,NA
07-08-2026,Amitava Dutta,East,AshokNagarHub_PAT_PL,EXT,Present,187,NA
07-08-2026,Amitava Dutta,East,AshokNagarHub_PAT_PL,FK,Future,20,NA
07-08-2026,Amitava Dutta,East,AshokNagarHub_PAT_PL,FK,Past,7,NA
07-08-2026,Amitava Dutta,East,AshokNagarHub_PAT_PL,FK,Present,354,NA
07-08-2026,Amitava Dutta,East,AshokNagarHub_PAT_PL,MYE,Future,12,NA
07-08-2026,Amitava Dutta,East,AshokNagarHub_PAT_PL,MYE,Present,11,NA
07-08-2026,Amitava Dutta,East,BaleshwarHub_BAW_PL,EXT,Past,1,NA
07-08-2026,Amitava Dutta,East,BaleshwarHub_BAW_PL,FK,Future,4,NA
07-08-2026,Amitava Dutta,East,BaleshwarHub_BAW_PL,FK,Present,43,NA
07-08-2026,Amitava Dutta,East,BaleshwarHub_BAW_PL,MYE,Present,2,NA
07-08-2026,Amitava Dutta,East,BankiPoreHub_PAT_PL,EXT,Future,3,NA
07-08-2026,Amitava Dutta,East,BankiPoreHub_PAT_PL,EXT,Present,4,NA
07-08-2026,Amitava Dutta,East,BankiPoreHub_PAT_PL,FK,Future,192,NA
07-08-2026,Amitava Dutta,East,BankiPoreHub_PAT_PL,FK,Past,42,NA
07-08-2026,Amitava Dutta,East,BankiPoreHub_PAT_PL,FK,Present,2383,NA
07-08-2026,Amitava Dutta,East,BankiPoreHub_PAT_PL,MYE,Past,15,NA
07-08-2026,Amitava Dutta,East,BankiPoreHub_PAT_PL,MYE,Present,1,NA
07-08-2026,Amitava Dutta,East,BariatuHub_IXR_PL,EXT,Future,7,NA
07-08-2026,Amitava Dutta,East,BariatuHub_IXR_PL,EXT,Present,14,NA
07-08-2026,Amitava Dutta,East,BariatuHub_IXR_PL,FK,Past,3,NA
07-08-2026,Amitava Dutta,East,BariatuHub_IXR_PL,FK,Present,26,NA
07-08-2026,Amitava Dutta,East,BariatuHub_IXR_PL,MYE,Future,7,NA
07-08-2026,Amitava Dutta,East,BariatuHub_IXR_PL,MYE,Present,3,NA
07-08-2026,Amitava Dutta,East,BaripadaHub_BPO_PL,EXT,Future,4,NA
07-08-2026,Amitava Dutta,East,BaripadaHub_BPO_PL,EXT,Present,1,NA
07-08-2026,Amitava Dutta,East,BaripadaHub_BPO_PL,FK,Future,6,NA
07-08-2026,Amitava Dutta,East,BaripadaHub_BPO_PL,FK,Past,12,NA
07-08-2026,Amitava Dutta,East,BaripadaHub_BPO_PL,FK,Present,43,NA
07-08-2026,Amitava Dutta,East,BaripadaHub_BPO_PL,MYE,Future,15,NA
07-08-2026,Amitava Dutta,East,BaripadaHub_BPO_PL,MYE,Past,2,NA
07-08-2026,Amitava Dutta,East,BegusaraiHub_BGI_PL,FK,Future,3,NA
07-08-2026,Amitava Dutta,East,BegusaraiHub_BGI_PL,FK,Present,69,NA
07-08-2026,Amitava Dutta,East,BegusaraiHub_BGI_PL,MYE,Future,3,NA
07-08-2026,Amitava Dutta,East,BegusaraiHub_BGI_PL,MYE,Present,16,NA
07-08-2026,Amitava Dutta,East,BEHEAHUB_ARH_PL,EXT,Future,3,NA
07-08-2026,Amitava Dutta,East,BEHEAHUB_ARH_PL,EXT,Present,1,NA
07-08-2026,Amitava Dutta,East,BEHEAHUB_ARH_PL,FK,Future,13,NA
07-08-2026,Amitava Dutta,East,BEHEAHUB_ARH_PL,FK,Past,1,NA
07-08-2026,Amitava Dutta,East,BEHEAHUB_ARH_PL,FK,Present,40,NA
07-08-2026,Amitava Dutta,East,BerhampurHub_BMP_PL,EXT,Present,4,NA
07-08-2026,Amitava Dutta,East,BerhampurHub_BMP_PL,FK,Future,46,NA
07-08-2026,Amitava Dutta,East,BerhampurHub_BMP_PL,FK,Past,1,NA
07-08-2026,Amitava Dutta,East,BerhampurHub_BMP_PL,FK,Present,87,NA
07-08-2026,Amitava Dutta,East,BerhampurHub_BMP_PL,MYE,Present,5,NA
07-08-2026,Amitava Dutta,East,BettiahHub_BTH_PL,EXT,Past,1,NA
07-08-2026,Amitava Dutta,East,BettiahHub_BTH_PL,EXT,Present,2,NA
07-08-2026,Amitava Dutta,East,BettiahHub_BTH_PL,FK,Past,2,NA
07-08-2026,Amitava Dutta,East,BettiahHub_BTH_PL,FK,Present,80,NA
07-08-2026,Amitava Dutta,East,BhadrakHub_BHC_PL,FK,Present,13,NA
07-08-2026,Amitava Dutta,East,BhadrakHub_BHC_PL,MYE,Past,1,NA
07-08-2026,Amitava Dutta,East,BhagalpurHub_BGP_PL,EXT,Future,2,NA
07-08-2026,Amitava Dutta,East,BhagalpurHub_BGP_PL,EXT,Past,1,NA
07-08-2026,Amitava Dutta,East,BhagalpurHub_BGP_PL,EXT,Present,5,NA
